section,title,description,punishment,example_incidents
"113","Causing death by negligence relating to explosive substance","Whoever causes the death of any person by doing any rash or negligent act with any explosive substance, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Fireworks factory explosion; Gas cylinder explosion due to negligence"
"114","Causing death by negligence relating to animal","Whoever causes the death of any person by doing any rash or negligent act with respect to any animal in his possession, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Pet dog attack due to owner's negligence; Elephant rampage due to improper handling"
"115","Causing death by negligence relating to building or property","Whoever causes the death of any person by doing any rash or negligent act with respect to any building or property, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Building collapse due to poor construction; Falling object from construction site"
"116","Causing death by negligence relating to medical treatment","Whoever causes the death of any person by rash or negligent act or omission in respect of medical treatment, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Wrong diagnosis leads to death; Surgical error during operation"
"117","Causing death by negligence relating to food or drink","Whoever causes the death of any person by selling any article of food or drink which is noxious, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Imprisonment up to 6 months, or fine up to ₹1,000, or both","Selling adulterated liquor; Food poisoning from contaminated food"
"118","Causing death by negligence relating to adulteration of drugs","Whoever causes the death of any person by adulterating any drug or medical preparation in such a manner as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it noxious, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Fake medicines causing death; Adulterated drugs sold as genuine"
"119","Causing death by negligence relating to rash or negligent conduct with respect to fire or combustible matter","Whoever causes the death of any person by doing any rash or negligent act with respect to fire or any combustible matter, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Fire due to electrical short circuit; Gas cylinder explosion in restaurant"
"120","Causing death by negligence relating to rash or negligent conduct with respect to poisonous substance","Whoever causes the death of any person by doing any rash or negligent act with respect to any poisonous substance, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Pesticide poisoning; Chemical leak in factory"
"121","Causing death by negligence relating to rash or negligent conduct with respect to machinery","Whoever causes the death of any person by doing any rash or negligent act with respect to any machinery, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Industrial accident due to unguarded machinery; Construction equipment failure"
"122","Causing death by negligence relating to rash or negligent conduct with respect to building, etc.","Whoever causes the death of any person by doing any rash or negligent act with respect to any building, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Building collapse due to poor maintenance; Falling debris from construction site"
"123","Causing death by negligence relating to rash or negligent conduct with respect to animal","Whoever causes the death of any person by doing any rash or negligent act with respect to any animal in his possession, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Pet dog attack; Bull run amok in public place"
"124","Causing death by negligence relating to rash or negligent conduct with respect to any matter not specifically provided for","Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, and for which no punishment is hereinbefore provided, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Any other negligent act causing death not covered by specific sections"
